info;
"{""id"":""SNG0746.json"",""log"":[""The Varsity restoran hakkında bilgi arıyorum.\n"",""The Varsity dünya mutfağı sunan orta fiyatlı bir restorandır. Başka bilgi ister misiniz?"",""Bana salı akşamı saat 20: 00'de masa rezervasyonu yapabilir misiniz?"",""Tamam! Varsity Restaurant'taki 2 kişilik masanız Salı günü 20: 00'da rezerve edildi. Referans numarası: 1EB89A0F"",""Çok teşekkür ederim, hepsi bu kadar."",""Rica ederim. Hoşça kal!""]}";
"{""id"":""SSNG0107.json"",""log"":[""Şehrin batı kesiminde eritre yemek alabileceğim yer arıyorum"",""Maalesef kriterlerinize uygun restoran yok. Sizin için yapabileceğim başka bir şey var mı?"",""Hint yemekleri servis eden var mı?"",""Biri orta fiyat aralığında ve geri kalanı pahalı fiyat aralığında olmak üzere altı restoran bulunmaktadır. Hangisini tercih edersiniz?"",""Herhangi bir sorun olmaz. Ama Pazar günü için 8 kişi için 12:15'te bir masa ayırtmak istiyorum."",""rice boat rezervasyonu başarısız oldu. Başka bir restoran bulmak ister misiniz?"",""Aynı bölge ve fiyat aralığında olduğu sürece tabii. Lütfen referans numarasını da alayım."",""Tamam Tandoori Sarayı'nda rezervasyon yaptırdım ve referans numaranız NBLD7E0V."",""Teşekkür ederim, bugünlük bu kadar yeterli."",""Tamam, yardım edebileceğime sevindim!""]}";
"{""id"":""WOZ20296.json"",""log"":[""Şehrin kuzeyinde İsveç yemekleri sunan bir yer istiyorum."",""İsteklerinize uygun restoran yok. Farklı bir restoran ister misiniz?"",""Şehrin kuzeyinde İtalyan restoranı var mı?"",""evet bir tane var, adı da vinci pizzacı."",""harika, lütfen bana adresini ve telefon numarasını verir misiniz?"",""da vinci pizzacı 20 Milton Road Chesterton adresindedir ve telefon numarası 01223 351707'dir. Bugün size başka bir konuda yardımcı olabilir miyim?"",""Teşekkür ederim hoşçakal."",""Teşekkürler ve afiyet olsun!"",""Teşekkürler!"",""Güle güle.""]}";
"{""id"":""SNG0706.json"",""log"":[""Pahalı Avrupa mutfağından ne yemeliyiz?"",""Cambridge'de pahalı Avrupa yemekleri için 5 seçenek var. Kuzeyde 1, Batı'da 1 ve Cambridge Merkezinde 3."",""Güneyde hiçbir şey yok mu?"",""Güneyde pahalı bir avrupa restoranı bulamadım."",""Meksika restoranları peki?"",""Chiquito restoran bar meksikalı bir restoran, güneyde ve pahalıdır. Masa ayırtmak ister misiniz?"",""Evet. 19:15 de Pazar günü 1 kişilik bir masa istiyorum."",""Masanız ayrılmıştır ve referans numarası TN3210RT'dir. Başka bir ihtiyacınız var mı?"",""Hepsi yeterli. Yardımınız için teşekkürler.\n"",""Rica ederim! İyi eğlenceler! Güle güle!""]}";
"{""id"":""SSNG0164.json"",""log"":[""Şehrin güneyinde Japon yemeği arıyorum."",""Üzgünüm. Güney bölgesinde Japon restoranı yok. Başka bir alanı veya yiyecek türünü denemek ister misiniz?"",""Meksika'yı dene o zaman."",""Ne yazık ki, şehrin güney kesiminde bir Meksika restoranı bulamadım. Farklı bir mutfak aramamı ister misiniz?"",""her türlü mutfağı kabul ediyorum. Sadece Cumartesi günü 13:15'te 6 kişilik rezervasyon istiyorum."",""Japonca, İtalyanca, Modern Avrupa, Portekizce, Hint ve Meksika var. Bunlardan hangisini tercih edersiniz?"",""Meksikalı, lütfen."",""Meksika mekanı açık değil, yemek için başka bir yer deneyeyim mi?"",""Evet, lütfen. O gün güney tarafında aynı fiyat aralığında açık olan Japon ya da Meksika mekanı olmadığından emin misiniz?"",""Hayır, üzgünüm. Eğer ilgileniyorsanız Ama bir Portekiz restoranı var."",""Tamam. Lütfen orada rezervasyon yapmayı deneyin."",""Harika! Orada rezervasyon yaptırabildim ve referans numaranız W2A8GHG8."",""Yardımın için teşekkürler. İyi günler."",""Cambridge TownInfo merkezini kullandığınız için teşekkür ederiz. İyi günler!""]}";
"{""id"":""WOZ20385.json"",""log"":[""Hey, güneydeyim bana yemek için bir yer önerebilir misin?"",""Ne tür yiyecek istersiniz?"",""Umurumda değil."",""Chiquito Restaurant Bar'ı tavsiye ederim\n"",""Adresi ve telefon numarasını alabilir miyim?"",""Chiquito Restaurant Bar, 2G Cambridge Eğlence Parkı Cherry Hinton Road Cherry Hinton'da yer almaktadır. Telefon numarası 01223 400170."",""GÜZEL OLACAK."",""Rica ederim, hoşçakalın.""]}";
"{""id"":""WOZ20007.json"",""log"":[""Şehrin doğusunda orta fiyatlı bir restoran ve telefon numarası istiyorum."",""Hint yemeklerini mi yoksa İtalyan yemeklerini mi tercih edersiniz?"",""Umurumda değil. Bana telefon numaralarını ver."",""Curry Prince, şehrin doğu kesiminde Hint yemekleri sunan orta fiyatlı bir restoran. Telefon numarasını ister misiniz?"",""Evet, bana telefon numarasını ver"",""Curry Prince'in telefon numarası 01223 566388'dir.\n"",""Harika, teşekkürler! Güle güle!"",""Rica ederim, hoşçakalın.""]}";
"{""id"":""SNG0668.json"",""log"":[""Pahalı fiyat aralığında bir İngiliz restoranı arıyorum."",""Mevcut birkaç seçeneğimiz var. Aradığınız belirli bir şehir bölgesi var mı? Yoksa, batıda Graffiti'yi öneririm."",""Grafiti kulağa hoş geliyor. Perşembe günü saat 16: 45'te dört kişilik bir masaya ihtiyacım var, lütfen."",""Hepsi rezerve edildi, referans numarası S3Q9J1KJ"",""Harika! Çok teşekkürler. Tüm ihtiyacım olan bu. İyi günler. Hoşçakal!"",""Rica ederim. Güle güle!""]}";
"{""id"":""SNG0681.json"",""log"":[""Batıda yemek için pahalı bir yer bulmak için yardıma ihtiyacım var."",""Batı Cambridge'de pahalı yemekler için birçok seçenek var. İstediğiniz belirli bir yiyecek türü var mı?"",""Evet, Search Chicken Tikka Masala'yı yiyebileceğim Hint yemekleri yemek istiyorum."",""Üzgünüm, Chicken Tikka Masala için hiçbir şey gösterilmiyor. Ancak Cambridge'in batısında 5 pahalı Hint restoranı vardır. Rice Boat 'u tavsiye ederim."",""Rice Boat 'ta Pazartesi günü saat 11:45'te 1 kişi için masa ayırmak istiyorum."",""Rice Boat için Pazartesi günü 11:45'te rezervasyon yapıldı. Referans numaranız S224QQ91. Başka bir konuda yardımcı olabilir miyim?"",""Hayır, yeterli. Yardımlarınız için çok teşekkürler!"",""Cambridge TownInfo merkezini kullandığınız için teşekkür ederiz. İyi günler.""]}";
"{""id"":""WOZ20109.json"",""log"":[""Akdeniz yemekleri sunan pahalı bir restoran arıyorum."",""İki pahalı Akdeniz restoranı buldum, La Mimosa ve Shiraz Restaurant. Her ikisi de orta alanda. Bu restoranlardan biri hakkında daha fazla bilgi ister misiniz?"",""Başka bir yer var mı?"",""Hayır efendim. hepsi bu kadar."",""Teşekkür ederim hoşçakal."",""Teşekkürler, iyi günler!""]}";
"{""id"":""WOZ20536.json"",""log"":[""Bana şehrin güneyinde ucuz bir yer bulabilir misin?"",""Tercih ettiğiniz yemek türü nedir?"",""Yemek türünü önemsemiyorum."",""Nandos, şehrin güney kesiminde Portekiz yemekleri sunan ucuz bir restorandır."",""Başka bir yer var mı?"",""the lucky star ucuz bir fiyat aralığında, güney bölgesinde bir çin restoranıdır.\n"",""Adres nedir?"",""the lucky star cambridge eğlence parkı clifton yolu kiraz hinton 'da bulunur. Size yardımcı olabileceğim başka bir şey var mı?"",""Teşekkürler, hoşçakal"",""İyi günler! Güle güle.""]}";
"{""id"":""WOZ20340.json"",""log"":[""Şehrin güney kesiminde Meksika yemekleri sunan bir restoran arıyorum."",""Chiquito Restaurant Bar'da Meksika yemekleri servis edilmektedir. Şehrin güneyinde pahalı bir restorandır."",""Adres, telefon numarası ve posta kodu nedir?"",""Chiquito restoran bar 2G Cambridge eğlence parkı cherry hinton yolu cherry hinton 'da yer almaktadır. Telefon numarası 01223 400170 ve posta kodu CB17DY'dir. Yardımcı olabileceğim başka bir şey var mı?"",""Hayır, tek ihtiyacım olan bu, çok teşekkür ederim!"",""Rica ederim.""]}";
"{""id"":""WOZ20175.json"",""log"":[""Şehrin kuzeyinde uygun fiyatlı bir restoran var mı?"",""Şehrin kuzey kısmında orta fiyatlı iki restoran, bir Çin restoranı olan Golden Wok ve bir Hint restoranı olan Nirala var. Bunlardan herhangi biri hakkında daha fazla bilgi ister misiniz?"",""Evet Nirala'nın telefon numarasını istiyorum."",""Nirala'nın telefon numarası 01223 360966'dır. Size yardımcı olabileceğim başka bir şey var mı?"",""Evet. Nirala'nın adresini ister miyim lütfen?"","" 7 Milton Road Chesterton. Size başka nasıl yardımcı olabilirim?"",""Posta kodu nedir?"",""Nirala'nın posta kodu CB 2, 1 UJ"",""Sanırım tüm ihtiyacım bu, yardımın için teşekkürler."",""Teşekkür ederim. Güle güle.""]}";
"{""id"":""SNG0712.json"",""log"":[""Gastropub yemeği sunan pahalı bir yer arıyorum."",""Cambridge'de pahalı gastropub yemekleri için 3 seçeneğimiz var. Merkezde mi yoksa doğuda mı bir yer tercih edersiniz?"",""Şehrin merkezinde yemek istiyorum, lütfen."",""Merkezde iki tane var, Backstreet bistro ve The Slug and Lettuce . Size rezervasyon yaptırmamı ister misiniz?"",""Bana Slug and Lettuce adresini ve telefon numarasını verir misiniz lütfen."",""Slug and Lettuce 34-35 Green Street, posta kodu cb23ju'da bulunur. Üzgünüz, sistemimiz telefon numaralarını listelemiyor. Başka bir şey var mı?"",""Keşke telefon numaralarını verebilseydin. Ama bunun dışında bana ihtiyacım olan her şeyi verdin. Teşekkürler hoşça kal."",""Rica ederiz. Cambridge TownInfo Center ile iletişim kurduğunuz için teşekkür eder, iyi günler dileriz!""]}";
"{""id"":""WOZ20064.json"",""log"":[""Şehrin batısında makul fiyatlı bir restoran bulmak istiyorum. Adresini öğrenebilir miyim?"",""Meghna şehrin batısında ve orta fiyat aralığında. Adresleri 205 Victoria yolu, Chesterton 'dır."",""Teşekkür ederim. Güle güle."",""Rica ederim. İyi günler!""]}";
"{""id"":""WOZ20554.json"",""log"":[""Şehrin doğusunda herhangi bir İtalyan restoranı hakkında bilgi alabilir miyim?"",""evet tabi. doğuda pizza hut fen ditton denilen İtalyan restoranı var. Başka ne öğrenmek istersiniz?"",""Adresi nedir acaba?"",""Pizza hut fen Buckingham Palace için adres Cambridge Perakende Park Newmarket Road Fen Buckingham Palace. Size başka nasıl yardımcı olabilirim?"",""Teşekkür ederim, güle güle."",""Teşekkür ederim.""]}";
"{""id"":""SSNG0134.json"",""log"":[""Şehrin merkezinde bir Karayip restoranı arıyorum."",""Maalesef merkezde Karayip restoranı yok. Başka bir şey denemek ister misiniz?"",""Şehrin başka bir yerinde karayip restoranı var mı?\n"",""Üzgünüm şehrin herhangi bir bölgesinde yok, ilginizi çekecek başka bir mutfak var mı?"",""Tabii, ortalama bir fiyat aralığında bir Türk restoranı harika olurdu."",""Merkezde 2 Türk restoranı var. Anadolu veya efes restoranın her ikisi de ortalama. Senin için bir tane ayırmamı ister misin?"",""Evet, bana 8 kişi için The Anatolia yı Cuma günü saat 12: 00'de rezerve edin."",""Üzgünüm, o sırada boş yer yok. Efes restoranını denemek ister misiniz?"",""Evet, lütfen rezervasyon yaptırmayı deneyin."",""Evet, size o restoranda yer bulabildim ve referans numaranız 46AL3F0C."",""Harika! Yardımın için çok teşekkür ederim. Hepsi bu kadar."",""Tamam. Harika. Afiyet olsun.""]}";
"{""id"":""WOZ20525.json"",""log"":[""Şehrin batısında bir restoran istiyorum."",""Şehrin batı bölgesinde 14 restoran var. Ne tür yemek istersiniz?"",""İngiliz mutfağı, lütfen."",""Kasabanın batısında İngiliz yemekleri sunan hiçbir restoran bulunmuyor. Farklı bir yer veya mutfak aramamı ister misiniz?"",""İngiliz yemeklerine ne durumda?"",""Graffiti, şehrin batısında ve pahalı fiyat aralığında yer alan bir İngiliz restoranıdır. Adreslerini ister misiniz?"",""Evet, lütfen. Bana telefon numaralarını da verebilir misin?"",""Tabi. Graffiti için telefon numarası 01223 277977 ve adresi hotel felix whitehouse lane huntingdon road."",""Adrese de ihtiyacım var."",""adres Hotel Felix Whitehouse Lane Huntingdon Yolu"",""Teşekkür ederim hoşçakal."",""teşekkür ederim, iyi günler""]}";
"{""id"":""WOZ20166.json"",""log"":[""Merhaba, kasabanın doğu tarafında pahalı bir restoran arıyorum."",""Grafton Hotel restoranı, şehrin doğusunda pahalı bir restorandır."",""Posta kodu nedir?"",""grafton otel restoranının posta kodu CB 2, 1 UJ"",""Adres, telefon numarası ve mutfak türü nedir?\n"",""Grafton Hotel'in restoranında İngiliz yemekleri servis edilmektedir. Grafton Hotel 619 Newmarket Road Fen Ditton'da yer almaktadır ve telefon numarası 01223 241387'dir."",""Harika, teşekkürler!"",""Daha fazla bilgiye ihtiyacınız var mı?"",""Hayır, teşekkür ederim. Güle güle!"",""Teşekkür ederim. İyi günler."",""Ben de."",""Güle güle.""]}";
"{""id"":""SNG0601.json"",""log"":[""Kuzeydeki bir Hint restoranına gitmek istiyorum."",""Kriterlerinize uyan 2 tane buldum. Orta fiyatlandırma mı ucuz fiyatlandırma mı  tercih edersiniz?"",""Orta olanı nasıl? Adreslerini alabilir miyim lütfen?"",""Evet Nirala'nın adresi 7 Milton Road Chesterton ve posta kodları cb41uy. Bugün size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, hepsi bu, teşekkürler. İyi günler."",""Size yardımcı olabildiğimiz için çok mutlu oldum. Cambridge TownInfo merkezini kullandığınız için teşekkürler ve muhteşem bir gün geçirin!""]}";
"{""id"":""WOZ20264.json"",""log"":[""Uluslararası yemekler sunan orta fiyatlı bir restoran için adrese, telefon numarasına ve posta koduna ihtiyacım var."",""varsity restoran a ne dersiniz, onlar 35 Saint Andrews Street Şehir Merkezi, posta kodu CB 2, 3 AR, telefon numarası 01223 356060 bulunmaktadır."",""Teşekkür ederim hoşçakal."",""Güle güle.""]}";
"{""id"":""SNG0693.json"",""log"":[""Tandoori Palace adlı bir restoran bulmak istiyorum. Bu restoranı biliyor musunuz?"",""Evet. Batı tarafında çok güzel bir Hint restoranı."",""Bana posta kodunu verir misiniz lütfen?"",""Posta kodu cb43le. Başka bir konuda yardımcı olabilir miyim?"",""Hepsi bu kadar, teşekkürler. Güle güle!"",""Bir şey değil! İyi günler! Güle güle.""]}";
"{""id"":""SNG0512.json"",""log"":[""Merhaba! Ben kuzeyde herhangi bir tür ucuz bir restoran arıyorum!"",""Hint yemekleri sunan Royal Spice ve İtalyan yemekleri sunan Da Vinci Pizzeria var. Bu restoranlardan birinde masa ayırtmamı ister misiniz?"",""Royal Spice kulağa hoş geliyor. Cumartesi günü saat 15: 45'te 8 kişilik masa rezervasyonu yapabilir misiniz?"",""Maalesef o gün ve saat için rezervasyon yapamadım. Sizin için farklı bir gün veya saat deneyeyim mi?"",""Saat 14: 45'te ne dersin?"",""Cumartesi günü o gün için rezervasyon yaptırdım. Referans numarası 9PVIPW1Y. Başka bir isteğiniz var mı?\n"",""Hayır, çok yardımcı oldunuz. Teşekkürler, güle güle."",""Teşekkürler ve iyi günler!""]}";
"{""id"":""SNG0598.json"",""log"":[""Bu akşam yemeğe gitmek istiyorum ve şehrin merkezinde iyi bir Bistro arıyorum. Bana bazı seçenekler bulabilir misin?"",""Üzgünüm. Eşleşen bir restoran yok. Farklı bir yemek türü veya alanı denemek ister misiniz?"",""Hmm ... düşüneyim. Onun yerine belki İtalyan bir yer deneyebilirim."",""Şehrin merkezinde dokuz İtalyan restoranı var! Herhangi bir fiyat aralığında bir İtalyan restoranı mı arıyorsunuz?"",""Bu dokuzdan hangisi en iyi dereceye sahip? Adres ve posta kodunu alabilir miyim?"",""Caffe Uno'yu tavsiye ederim - çok güzel. 32 Bridge Street Şehir Merkezi'ndeler, cb21uj. Başka bir şey için yardımcı olabilir miyim?\n"",""Hayır, hepsi bu kadar. Teşekkürler."",""Teşekkürler! Güle güle.""]}";
"{""id"":""WOZ20250.json"",""log"":[""Şehrin merkezinde bir Malezya restoranı istiyorum."",""Üzgünüz, aradığınız bölgede Malezya restoranı yoktur. Başka bir şey için yardım edebilir miyim?"",""Şehrin merkezinde Kore yemeği var mı?"",""Küçük Seul, şehir merkezinde bir Kore restoranıdır. Telefon numaralarını ister misiniz?"",""Evet ve adresleri."",""Little Seoul adresi 108 Regent Street Şehir Merkezi'dir."",""Teşekkürler, hoşçakalın."",""Afiyet olsun!""]}";
"{""id"":""WOZ20598.json"",""log"":[""Merhaba, şehrin merkezinde bir Venedik restoranı arıyorum."",""Şehrin merkezinde Venedik yemekleri sunan bir restoran yok. Şehrin başka bir bölümünü kontrol etmemi ister misiniz?"",""Tayland yemekleri nasıl?"",""Aradığınız fiyat aralığı nedir?"",""Umurumda değil."",""Bangkok Şehri şehir merkezinde Tayland yemekleri servis etmektedir. Bu restoran hakkında ek bilgi ister misiniz?"",""Adres ve telefon numarasını alabilir miyim lütfen?"",""bangkok city adresi: 24 Green Street City Center ve telefon numaraları 01223 354382"",""Teşekkürler, hoşçakal"",""Size teşekkürler! Afiyet olsun!""]}";
"{""id"":""WOZ20662.json"",""log"":[""Malezya yemeği sunan ucuz bir restoran istiyorum"",""Üzgünüm, şehirde Malezya yemekleri servis eden bir restoran yok. Başka bir restoran bulmanıza yardımcı olabilir miyim?"",""Ucuz bir Avrupa mutfağı var mı?"",""Evet. River bar steakhouse and grill buldum. Modern Avrupa yemekleri sunan ve şehir merkezinde ucuz bir restorandır. Adresi ve telefon numarasını ister misiniz?"",""Elbette"",""River bar steakhouse and grill rıhtım köprüsünde yer almaktadır ve telefon numarası 01223307030. Size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, yardımın için teşekkürler. Güle güle."",""Bizim için bir zevkti. Lütfen tekrar arayın. Güle güle.""]}";
"{""id"":""SSNG0006.json"",""log"":[""İngiliz yemekleri servis eden pahalı bir restoran arıyorum lütfen."",""Sizin için 6 restoran buldum şehrin belirli bir bölgesinde mi istersiniz?"",""Hayır, önemli değil. Bunlardan birini Pazar günü saat 13: 00'te rezerve edebilir misiniz? Yalnız yemek yiyeceğim."",""Pekala, sana Graffiti'de bir masa ayırdım. Masa 15 dakika boyunca rezerve edilecek ve referans numarası: FAVAELU5. Adrese veya telefon numarasına ihtiyacınız var mı?"",""Hayır, bunlar yeterli, teşekkürler."",""Harika. İyi günler!""]}";
"{""id"":""WOZ20530.json"",""log"":[""Şehrin batısında ucuz bir restoran istiyorum"",""Şehrin batısında iki ucuz restoran var. Biri İtalyan, diğeri Vietnamca. Hangisiyle ilgileniyorsun?"",""Vietnam restoranının telefon numarasını verir misin?"",""Vietnam restoranının adı Thanh Binh, telefon numarası 01223 362456. Başka bir konuda size yardımcı olabilir miyim?"",""Bana Thanh Binh için de adres verebilir misiniz?"",""Thanh Binh 17 Magdalene Caddesi Şehir Merkezindedir."",""Teşekkür ederim. Güle güle."",""Bizi aradığınız için teşekkür ederiz. Güle güle.\n""]}";
"{""id"":""WOZ20548.json"",""log"":[""Avrupa yemekleri sunan orta fiyatlı bir restoran bulmak istiyorum."",""de luca cucina and bar şehrin orta kısmında ve orta fiyat aralığındadır"",""Başka bir şey var mı? Bana adresi ve posta kodunu ver lütfen."",""Cambridge Lodge Restaurant'ın ayrıca Cambridge Lodge Hotel 139 Huntingdon Road City Center posta kodu CB30DQ'nun merkez bölgesinde ve pahalı Avrupa yemekleri var\n"",""Telefon numarası nedir?"",""Telefon numaraları 01223 355166."",""tamam teşekkürler hoşçakal"",""Teşekkür ederim. Güle güle"",""Teşekkür ederim hoşçakal."",""Bir şey değil. Hoşçakal.""]}";
"{""id"":""SNG0526.json"",""log"":[""Merkezde modern Avrupa yemekleri sunan bir restoran arıyorum."",""İlginizi çekebilecek 4 tane restoran buldum. Ne tür bir fiyat arıyorsunuz?"",""Fiyat tercihim yok ama pahalı restoranlar hangileri?"",""Darrys Cookhouse and Wine Shop adında pahalı kabul edilen bir restoran var. Orada bir masa ayırtmak ister misiniz?"",""Hayır, gerek yok. Sadece telefon numarasına ve posta koduna ihtiyacım var."",""Darrys Cookhouse and Wine Shop telefon numarası 01223505015 ve posta kodu cb11ln'dir. Size yardımcı olabileceğim başka bir konu var mı?"",""Hayır, teşekkürler. Güle güle!"",""Yardımcı olmaktan mutluluk duyarız. Güle güle.""]}";
"{""id"":""WOZ20013.json"",""log"":[""İsviçre yemeği sunan bir restoran bulmak istiyorum."",""Üzgünüm, bölgenizde İsviçre yemeği sunan bir restoran yok."",""Vietnam yemekleri sunan bir restoran var mı?"",""Thanh Binh Vietnam yemekleri sunuyor. Size yardımcı olabileceğim başka bir şey var mı?"",""Adres nedir?"",""thanh binh adresi: 17 Magdalene Street City Center"",""Teşekkürler, hoşçakalın."",""Teşekkür ederim, hoşçakalın.""]}";
"{""id"":""WOZ20106.json"",""log"":[""Şehrin doğusunda ucuz bir restoran bulmak istiyorum."",""doğuda ucuz the missing sock restoranı var."",""Adresi ve telefon numarası nedir?"",""Telefon numaraları 01223 812660 ve adresleri Finders Corner Newmarket Road'dur."",""Tamam, teşekkürler. Bu kadarı yeterli."",""Bir şey değil. Güle güle.""]}";
"{""id"":""SSNG0008.json"",""log"":[""Bana merkezde pahalı bir restoran bulabilir misin?"",""Bu kriterleri karşılayan 33 restoran var. Belirli bir mutfak türü mü arıyorsunuz?"",""Çin yemeği istiyorum ve restoran merkezde olursa sevinirim."",""Merkezde dört pahalı Çin restoranı var. hk fusion tavsiye ederim. Sizin için rezervasyon yaptırmamı ister misiniz?"",""Mükemmel, HK Fusion 'u 5 kişi için Cuma günü saat 19: 15'te deneyeceğim."",""Üzgünüm, bu rezervasyonu yapamadım. Başka bir zaman ister misiniz?"",""Cuma günü 20:15 - 9:15 saatleri arasında rezervasyon yapmayı dener misin lütfen?"",""Hiçbir zaman müsait değil Başka bir restoran ister misiniz?"",""Merkezde başka bir yer, aynı pahalı fiyat aralığı"",""bedouin 'de rezervasyon yapabildim, referans numarası 4ATMIYSC"",""Teşekkürler, tek ihtiyacım olan bu. İyi günler."",""Tamam harika. Yardımcı olabileceğime sevindim.""]}";
"{""id"":""SNG0566.json"",""log"":[""Akşam yemeğinde İtalyan yemeği yemek istiyorum. Şehirde iyi ve ucuz İtalyan  restoranlar var mı?"",""Tabii, zizzi cambridge e ne dersiniz, şehir merkezinde ucuz İtalyan yemekleri sunuyorlar.\n"",""Kulağa hoş geliyor. Numaralarını alabilir miyim?"",""Tabi ki, zizzi cambridge 'in telefon numarası 01223365599'dur. Başka bir konuda yardımcı olabilir miyim?"",""Hiç gerek yok. Yardım için teşekkürler!"",""Bir şey değil. İyi günler!""]}";
"{""id"":""SSNG0105.json"",""log"":[""Pahalı Hint yemekleri sunan bir yer arıyorum"",""Pahalı Hint yemekleri sunan 14 yer var. Bir bölge belirtirseniz daha fazla daraltabiliriz. Aklınızda bir bölge var mı?"",""Şehrin Batı kısmını deneyelim."",""Batı'da 5 tane var. Cocum 'u denemek isteyebilirsiniz, 71 Castle Street City Centre 'da."",""Tamam, Pazar günü saat 14: 00'de 7 kişi için rezervasyon yapabilir misiniz?"",""Üzgünüm, şu anda rezervasyon yapamıyorum. 2 restoran daha var, onların uygunluğunu kontrol etmemi ister misiniz?"",""Eğer Cocum ile aynı fiyat aralığı ve bölgedeyse evet."",""Size Maharajah Tandoori Restaurant 'ta yer bulabildim. Referans numaranız O9K319CU. Yardımcı olmamı istediğiniz başka bir şey var mı?"",""Hayır, ihtiyacım olan tek şey bu."",""Bir şey değil. İyi günler.""]}";
"{""id"":""WOZ20613.json"",""log"":[""Ben orta fiyat aralığında ve şehrin kuzeyinde bir restoran arıyorum."",""Şehrin kuzeyinde iki adet orta fiyatlı restoran var. Biri Hint mutfağı konusunda uzmanlaşmış, diğeri ise Çin restoranı."",""Hintli olanı istiyorum. Adres ve telefon numarası nedir?"",""Hint restoranı 7 Milton Road Chesterton'da ve telefon numarası 01223 360966"",""Çok teşekkür ederim"",""Cambridge Restaurant Telefon Sistemini kullandığınız için teşekkür ederiz. Afiyet olsun!""]}";
"{""id"":""SSNG0122.json"",""log"":[""Orta fiyatlı ve doğuda bulunan bir yer arıyorum."",""Bu bilgiye sahip üç restoran var, daraltmak için ne tür yiyecekler aradığınızı sorabilir miyim?"",""Bir İtalyan restoranı istiyorum."",""Pizza Hut Fen Ditton, doğudaki tek orta fiyatlı İtalyan restoranı. Rezervasyon ister misiniz?"",""Evet, lütfen, Cumartesi günü 1:45 için 4 kişilik rezervasyon istiyorum."",""Rezervasyon başarısız oldu. Başka bir restoran bulmak ister misiniz?"",""Aynı bölgede makul fiyat aralığında başka restoranlar var mı?"",""Evet eğer ilgileniyorsanız birkaç Hint restoranım var."",""Eminim. Lütfen bana bunlardan birinde yer ayırtın."",""Memnuniyetle. Hangi gün ve saatte rezervasyon yapmak istiyorsunuz ve kaç kişi için?"",""Cumartesi 13: 45'te 4 kişi lütfen."",""Curry Prince'te saat 13: 45'te 4 kişilik bir masa rezervasyonu yaptım. Referans numaranız GE1NWVTX. Bugün yardım edebileceğim başka bir konu var mı?"",""Hayır, tek ihtiyacım olan bu. İyi günler."",""Hizmet etmekten mutluluk duyarız, afiyet olsun!""]}";
"{""id"":""WOZ20206.json"",""log"":[""Evet, Avrupa yemekleri sunan pahalı bir restoran arıyorum."",""eraina ya ne dersin?"",""Eraina Avrupa yemekleri sunuyor mu? Öyleyse, telefon numarası ve bölgesi nedir?"",""Eraina, şehrin merkezinde Modern Avrupa yemekleri sunmaktadır. Telefon numarası 01223 368786."",""Tamam, bilgi için teşekkürler."",""Teşekkürler, Afiyet olsun!""]}";
"{""id"":""SNG02127.json"",""log"":[""Bir restoran arıyorum. Restoran güneyde olmalı ve Fransız yemekleri servis etmelidir."",""Hiçbir restoran bulamadım. Farklı bir mutfak veya bölge denemek ister misiniz?\n"",""Modern Avrupa yemekleri sunan bir restoran var mı?"",""Restaurant alimentum iyi yorumlar aldı!"",""Harika, Cuma günü saat 19: 00'da 7 kişilik rezervasyon istiyorum. Lütfen rezervasyon numarasını da ver."",""Rezervasyon başarılı oldu. Masa 15 dakika boyunca rezerve edilecektir. Referans numarası: NCHJ21BD."",""Yardımınız için teşekkür ederim"",""Size başka nasıl yardımcı olabilirim? Bir taksi ihtiyacınız var mı?"",""Hayır, bu kadarı yeterli, teşekkürler."",""Servisimizi kullandığınız için teşekkür ederiz.""]}";
"{""id"":""WOZ20586.json"",""log"":[""Rus yemekleri sunan pahalı bir restoran arıyorum."",""Rus yemekleri sunan pahalı bir restoran yok, başka bir yer bulmamı ister misiniz?"",""Evet İngiliz mutfağı sunan bir yer var mı?"",""Evet, 6 seçenek var. Şehrin hangi bölgesinde olduğu önemli mi?"",""Umrumda değil."",""Batıda Graffiti önerebilirim.Daha fazla bilgi ister misiniz?"",""Telefon numarasını alabilir miyim?"",""Telefon numarası 01223 277977. Size yardım edebileceğim başka bir konu var mı?"",""Teşekkür ederim hoşçakal."",""Rica ederim. Güle güle.""]}";
"{""id"":""WOZ20494.json"",""log"":[""Akdeniz yemekleri sunan pahalı bir restoran arıyorum. Adres ve telefon numarası nedir?"",""Thompsons Lane Fen Ditton'daki La Mimosa pahalıdır ve Akdeniz yemekleri servis etmektedir"",""Adresleri ve telefon numaraları nedir?"",""Adresleri Thompsons Lane Fen Ditton ve telefon numaraları 01223 362525. ""]}";
"{""id"":""WOZ20005.json"",""log"":[""Geleneksel yemekler sunan bir yer bakıyorum."",""Şehirde geleneksel bir restoran yok. Farklı mutfak türlerinde size yardımcı olabilir miyim?"",""Asya oryantal yemekleri nasıl"",""Kriterlerinizi karşılayan 5 restoran var. Hangi alanı ve fiyat aralığını düşünürsünüz?"",""Adres ve telefon numarası nedir?"",""The dojo noodle bar Asya oryantal yemekleri sunmaktadır. 40210 Millers Yard Şehir Merkezi'nde yer alır ve telefon numarası 01223 363471'dir."",""Teşekkür ederim. Güle güle."",""Güle güle""]}";
